LETTER X Y W H
s 671 2002 127 127
t 804 2002 127 127
y 538 2002 127 127
x 139 1804 127 127
p 272 1804 127 127
g 405 1804 127 127
n 538 1804 127 127
d 671 1804 127 127
r 937 1804 127 127
f 272 2002 127 127
 139 2002 127 127
z 73 1903 127 127
k 206 1903 127 127
c 339 1903 127 127
i 472 1903 127 127
_ 738 1903 127 127
e 871 1903 127 127
 1004 1903 127 127
a 605 1903 127 127
j 206 1705 127 127
u 871 1705 127 127
 1004 1705 127 127
w 804 1804 127 127
m 405 2002 127 127
q 73 1705 127 127
v 339 1705 127 127
b 472 1705 127 127
l 605 1705 127 127
o 738 1705 127 127
h 937 2002 127 127
