Letter A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Space Total
A 2 144 308 382 1 67 138 9 322 7 146 664 177 1576 1 100 0 802 683 785 87 233 57 14 319 12 50 7086
B 136 14 0 0 415 0 0 0 78 18 0 98 1 0 240 0 0 88 15 7 256 1 1 0 13 0 36 1417
C 368 0 13 0 285 0 0 412 67 0 178 108 0 1 298 0 1 71 7 154 34 0 0 0 9 0 47 2053
D 106 1 0 37 375 3 19 0 148 1 0 22 1 2 137 0 0 83 95 3 52 5 2 0 51 0 2627 3770
E 670 8 181 767 470 103 46 15 127 1 35 332 187 799 44 90 9 1314 630 316 8 172 106 87 189 2 4904 11612
F 145 0 0 0 154 86 0 0 205 0 0 69 3 0 429 0 0 188 4 102 62 0 0 0 4 0 110 1561
G 94 1 0 0 289 0 19 288 96 0 0 55 1 31 135 0 0 98 42 6 57 0 1 0 2 0 686 1901
H 1164 0 0 0 3155 0 0 1 824 0 0 5 1 0 487 2 0 91 8 165 75 0 8 0 32 0 715 6733
I 23 7 304 260 189 56 233 0 1 0 86 324 255 1110 88 42 2 272 484 558 5 165 0 15 0 18 4 4501
J 2 0 0 0 31 0 0 0 9 0 0 0 0 0 41 0 0 0 0 0 56 0 0 0 0 0 0 139
K 2 0 0 0 337 0 0 0 127 0 0 10 1 82 3 1 0 0 50 0 3 0 0 0 8 0 309 933
L 332 4 6 289 591 59 7 0 390 0 38 546 30 1 344 34 0 11 121 74 81 17 19 0 276 0 630 3900
M 394 50 0 0 530 6 0 0 165 0 0 4 28 4 289 77 0 0 53 2 85 0 0 0 19 0 454 2160
N 100 2 98 1213 512 5 771 5 135 8 63 80 0 54 349 0 3 2 148 378 49 3 2 2 115 0 1152 5249
O 65 67 61 119 34 80 9 1 88 3 123 218 417 598 336 138 0 812 195 415 1115 136 398 2 47 5 294 5776
P 142 0 1 0 280 1 0 24 97 0 0 169 0 0 149 64 0 110 48 40 68 0 3 0 14 0 127 1337
Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 66
R 289 10 22 133 1139 13 59 21 309 0 53 71 65 106 504 9 0 69 318 190 89 22 5 0 145 0 1483 5124
S 196 9 47 0 626 0 1 328 214 0 57 48 31 16 213 107 8 0 168 754 175 0 32 0 34 0 2228 5292
T 259 2 31 1 583 1 2 3774 252 0 0 75 1 2 331 0 0 187 209 154 132 0 84 0 121 1 2343 8545
U 45 53 114 48 71 10 148 0 65 0 0 247 87 278 3 49 1 402 299 492 0 0 0 1 7 3 255 2678
V 27 0 0 0 683 0 0 0 109 0 0 0 0 0 33 0 0 0 0 0 1 0 0 0 11 0 0 864
W 595 3 0 6 285 0 0 472 374 0 1 12 0 103 264 0 0 35 21 4 2 0 0 0 0 0 326 2503
X 17 0 9 0 9 0 0 0 10 0 0 0 0 0 1 22 0 0 0 23 8 0 0 0 0 0 21 120
Y 11 10 0 0 152 0 1 1 32 0 0 7 1 0 339 16 0 0 81 2 1 0 2 0 0 0 1171 1827
Z 3 0 0 0 26 0 0 0 2 0 0 4 0 0 2 0 0 0 3 0 0 0 0 0 3 9 2 54
Space 1882 1033 864 515 423 1059 453 1388 237 93 152 717 876 478 721 588 42 494 1596 3912 134 116 1787 0 436 2 0 19998
Total 7069 1418 2059 3770 11645 1549 1906 6739 4483 131 932 3885 2163 5241 5781 1339 66 5129 5278 8536 2701 870 2507 121 1855 52 19974 107199
