LETTER X Y W H
 291 1341 66 66
n 465 1287 66 66
 605 1287 66 66
m 535 1287 66 66
b 395 1287 66 66
x 185 1287 66 66
c 255 1287 66 66
v 325 1287 66 66
k 569 1233 66 66
l 639 1233 66 66
g 359 1233 66 66
a 79 1233 66 66
z 115 1287 66 66
_ 361 1341 66 66
 431 1341 66 66
s 149 1233 66 66
d 219 1233 66 66
w 113 1179 66 66
u 463 1179 66 66
h 429 1233 66 66
j 499 1233 66 66
i 533 1179 66 66
o 603 1179 66 66
p 673 1179 66 66
q 43 1179 66 66
e 183 1179 66 66
r 253 1179 66 66
t 323 1179 66 66
f 289 1233 66 66
y 393 1179 66 66
