LETTER X Y W H
z 83 1723 146 146
k 995 1723 146 146
n 539 1723 146 146
m 691 1723 146 146
j 843 1723 146 146
s 235 1723 146 146
d 387 1723 146 146
f 462 1609 146 146
l 843 1495 146 146
g 539 1495 146 146
a 235 1495 146 146
w 158 1381 146 146
x 158 1837 146 146
v 462 1837 146 146
b 614 1837 146 146
c 310 1837 146 146
u 691 1495 146 146
i 766 1381 146 146
o 918 1381 146 146
p 995 1495 146 146
q 83 1495 146 146
e 310 1381 146 146
_ 766 1609 146 146
h 614 1609 146 146
r 387 1495 146 146
t 462 1381 146 146
y 614 1381 146 146
